Individuo,Alumno no. Cuenta,Orden de preferencia,Clave,Nombre de la Materia
85,307007357,1,2037,Investigación de Operaciones II
86,30725968-6,5,2037,Investigación de Operaciones II
86,30725968-7,4,2041,Muestreo
86,30725968-8,3,2032,Análisis de Regresión 
86,30725968-9,2,2039,Modelos y Simulación 
86,30725968-10,1,2049,Evaluación de Proyectos
87,410014488,5,2039,Modelos y Silulación 
87,410014489,4,2032,Analisis de Regresion 
87,410014490,3,2511,Investigacion de Operaciones II
87,410014491,2,2049,Evaluacion de  Proyectos 
87,410014492,1,2041,Muestreo
88,307682316,5,2033,Derivados
88,307682317,4,2039,Modelos y simulación
88,307682318,3,2055,Series de tiempo
88,307682319,2,2036,Fianzas
88,307682320,1,2035,Finanzas Públicas
89,307260318,5,2049,Evaluacion de Proyectos
89,307260319,4,2054,Presupuesto de Capital
89,307260320,3,2039,Modelos Y Simulacion
89,307260321,2,2031,Analisis Multivariado
89,307260322,1,2032,Analisis  de Regresion
90,30517382-1,5,2031,Análisis Multivariado
90,30517382-2,4,2032,Análisis de Regresión
90,30517382-3,3,2041,Muestreo
90,30517382-4,2,2039,Modelos y Simulación
90,30517382-5,1,2030,Análisis de Datos Categóricos
91,410064146,5,2032,                      Anįlisis de Regresión
91,410064147,4,2039,                        Modelos y simulación
91,410064148,3,2031,                     Anįlisis Multivariado
91,410064149,2,2030,Anįlisis de datos Categóricos
91,410064150,1,2037,                      Investigación de Operaciones II
92,410090408,5,2032,Analisis de Regresion
92,410090409,4,2039,Modelos y Simulacion
92,410090410,3,2613,Economia Matematica II
92,410090411,2,2033,Derivados 
92,410090412,1,2049,Evaluacion de Proyectos
93,307222688,5,2039,             Modelos y simulaci n
93,307222689,4,2048,                   Estad stica Bayesiana
93,307222690,3,2031,                 An lisis multivariado
93,307222691,2,2055,                    Series de tiempo
93,307222692,1,2033,                         Derivados 
94,41007544-5,5,2041,              Muestreo
94,41007544-6,4,2055,            Series de Tiempo
94,41007544-7,3,2033,              Derivados
94,41007544-8,2,2032,              Analisis de Regresion
94,41007544-9,1,2039,             Modelos y Simulacion
95,307263852,5,2033,Derivados
95,307263853,4,2049,Evaluación de Proyectos
95,307263854,3,2031,Análisis Multivariado
95,307263855,2,2039,Modelos y Simulación
95,307263856,1,2040,Matemáticas Actuariales Aplicadas
96,307620826,5,2049,                Evaluación de Proyectos 
96,307620827,4,2051,                     Finanzas Internacionales
96,307620828,3,2037,                     Investigación de Operaciones II
96,307620829,2,2032,                   Análisis de Regresión
